commit,timestamp,ggml_ms,src_ms,common_ms,tools_ms,tests_ms
64d528b,1785391579,14644,55517,36583,61960,47563
32703b4,1785394357,14837,56133,36940,62533,48279
b2f2216,1785402194,14876,56419,37165,62849,48428
9b2a088,1785404447,15837,58548,38097,63842,49335
e1a1abb,1785422075,14948,56509,37210,62829,48387
958d9c0,1785432296,14892,56276,37036,62572,48713
5f55650,1785463935,14781,55228,36459,61723,48114
876a432,1785550413,14683,55302,36549,61844,48247
11924d4,1785636619,14758,55264,36417,61759,47956
221f0f6,1785723161,15390,57900,38120,63722,50235
6c8dcaa,1785811216,15720,58807,38067,63333,51655
6ea215d,1785895510,15975,60200,38679,64960,52506
c8e03ce,1785981654,14684,56278,36719,62545,50333
15586e2,1786069462,14870,56621,36881,62826,50426
3653e6d,1786151403,14997,57234,37343,63578,51024
7ba604f,1786238093,14896,56621,36891,63179,50453
74ce157,1786324604,14921,56828,36907,63484,50565
030ebb5,1786411428,15795,60531,38347,64981,51829
0b1bad1,1786498724,15932,61335,38580,66847,52410
8e7f22b,1786584286,14723,57992,37085,65162,50810
a94d563,1786670676,14849,57931,37087,64995,50714
9d57ce4,1786755364,14807,58253,37119,65043,50924
ece963f,1786841931,14880,58582,37236,64978,50562
4df29be,1786928168,14862,58483,37207,64976,51155
01818e4,1787014501,14772,58930,37303,65108,51189
6d05498,1787102360,16004,63465,39389,67486,54403
d59d455,1787193340,16001,63117,39186,68639,56101
749f688,1787274025,15959,62966,39089,67197,54327
